sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
中山,臺北市,24,,良好,0.8,0.25,21.1,9.7,12,8,10.9,17,6,2.3,135,"2022/09/29 11:00:00",0.2,7,13,0,121.526528,25.062361,12
萬華,臺北市,26,,良好,,,,6.9,,,,,,1.4,97,"2022/09/29 11:00:00",0.2,8,14,2,121.507972,25.046503,13
古亭,臺北市,28,,良好,,,,7.8,,5,,,,1.6,63,"2022/09/29 11:00:00",0.1,8,11,0,121.529556,25.020608,14
松山,臺北市,23,,良好,1,0.14,20.8,7.7,20,2,8.2,13.3,5.1,1.1,46,"2022/09/29 11:00:00",0.1,6,23,1,121.578611,25.05,15
大同,臺北市,47,,良好,1.3,0.46,14.5,6.4,38,11,17.7,42.1,24.4,-,-,"2022/09/29 11:00:00",0.8,14,33,1,121.513311,25.0632,16
桃園,桃園市,38,,良好,1.5,0.55,47.5,14.2,30,16,15.4,18.5,3,2.5,326,"2022/09/29 11:00:00",0.3,11,22,2,121.30872222,24.98677778,17
大園,桃園市,43,,良好,2.4,0.25,41.3,12.9,35,18,12.4,16.9,4.5,2.8,43,"2022/09/29 11:00:00",0.2,13,27,1,121.201811,25.060344,18
觀音,桃園市,67,細懸浮微粒,普通,1.4,0.27,64.3,20.9,56,31,7,8.5,1.5,2.7,336,"2022/09/29 11:00:00",0.2,22,35,1,121.082761,25.035503,19
平鎮,桃園市,43,,良好,1.6,0.4,54.5,17.5,40,22,17.7,20.5,2.8,1.6,5,"2022/09/29 11:00:00",0.3,13,21,1,121.203986,24.952786,20
龍潭,桃園市,29,,良好,1.4,0.33,62.8,20.6,29,16,9.4,10.7,1.2,0.9,350,"2022/09/29 11:00:00",0.2,8,18,1,121.21635,24.863869,21
湖口,新竹縣,76,細懸浮微粒,普通,1.2,0.26,,17.7,55,37,5.2,5.6,0.3,1.9,324,"2022/09/29 11:00:00",0.2,25,34,1,121.038653,24.900142,22
竹東,新竹縣,60,細懸浮微粒,普通,1,0.22,62.1,27.3,37,23,,,,2,299,"2022/09/29 11:00:00",0.2,19,28,1,121.088903,24.740644,23
新竹,新竹市,66,細懸浮微粒,普通,0.9,0.36,63.9,22.3,62,32,13.1,13.8,0.6,1.3,291,"2022/09/29 11:00:00",0.3,21,40,0,120.972075,24.805619,24
頭份,苗栗縣,60,細懸浮微粒,普通,2.1,0.34,65.4,24.1,47,26,8.9,11.5,2.6,2.6,339,"2022/09/29 11:00:00",0.2,19,33,1,120.898572,24.696969,25
苗栗,苗栗縣,66,細懸浮微粒,普通,1.6,0.25,59.1,23.4,48,24,5.5,6.3,0.8,2.2,353,"2022/09/29 11:00:00",0.2,21,35,1,120.8202,24.565269,26
三義,苗栗縣,66,細懸浮微粒,普通,1.7,0.37,73.7,36,63,35,8.9,10.5,1.6,2.3,200,"2022/09/29 11:00:00",0.2,21,38,1,120.758833,24.382942,27
豐原,臺中市,72,細懸浮微粒,普通,,,52.4,27.1,,26,,,,2.3,236,"2022/09/29 11:00:00",0.3,24,40,1,120.741711,24.256586,28
沙鹿,臺中市,90,細懸浮微粒,普通,1.8,0.28,58,26.5,62,35,8.1,9.3,1.1,2.5,248,"2022/09/29 11:00:00",0.3,31,54,1,120.568794,24.225628,29
大里,臺中市,77,細懸浮微粒,普通,1.7,0.26,55.5,22.8,53,21,6.7,9,2.3,2.3,241,"2022/09/29 11:00:00",0.3,26,53,1,120.67844444,24.09961111,30
忠明,臺中市,74,細懸浮微粒,普通,1.5,0.28,57.7,30.8,42,29,11,12.1,1,1.9,203,"2022/09/29 11:00:00",0.3,25,43,1,120.641092,24.151958,31
西屯,臺中市,88,細懸浮微粒,普通,1.5,0.24,,21.5,42,29,,,,1.9,230,"2022/09/29 11:00:00",0.3,30,51,1,120.616917,24.162197,32
彰化,彰化縣,85,細懸浮微粒,普通,1.2,0.21,50.3,19.7,50,30,5.9,9.6,3.7,1.8,195,"2022/09/29 11:00:00",0.3,29,51,1,120.541519,24.066,33
線西,彰化縣,89,細懸浮微粒,普通,2.1,0.2,46.9,18.1,63,36,5,6,1,2.4,338,"2022/09/29 11:00:00",0.2,31,57,1,120.469061,24.131672,34
二林,彰化縣,74,細懸浮微粒,普通,2.3,0.14,44.5,15.4,51,23,3.2,2.8,0,2.1,280,"2022/09/29 11:00:00",0.2,25,53,2,120.409653,23.925175,35
南投,南投縣,74,細懸浮微粒,普通,1,0.21,52.6,21.7,38,24,4,4.7,0.7,2.3,243,"2022/09/29 11:00:00",0.2,24,43,1,120.685306,23.913,36
斗六,雲林縣,91,細懸浮微粒,普通,1.9,0.23,50.6,28.2,55,29,4.6,5.9,1.2,2.2,273,"2022/09/29 11:00:00",0.2,31,59,2,120.544994,23.711853,37
崙背,雲林縣,63,細懸浮微粒,普通,0.9,0.13,41.3,15.5,43,16,1.9,2.8,0.8,1.3,272,"2022/09/29 11:00:00",0.1,20,43,1,120.348742,23.757547,38
新港,嘉義縣,66,細懸浮微粒,普通,1.7,0.11,,18.9,39,20,1.7,2.6,0.8,2,247,"2022/09/29 11:00:00",0.1,21,45,2,120.345531,23.554839,39
朴子,嘉義縣,58,細懸浮微粒,普通,1,0.16,42.5,24.5,31,14,3.7,4.5,0.7,1.9,270,"2022/09/29 11:00:00",0.1,18,42,1,120.24781111,23.46712222,40
臺西,雲林縣,56,細懸浮微粒,普通,1,0.13,39.9,23.2,39,19,2.9,4,1,2.4,292,"2022/09/29 11:00:00",0.1,17,43,1,120.19933333,23.702175,41
嘉義,嘉義市,68,細懸浮微粒,普通,2,0.2,45.1,24.5,56,21,4.9,7.4,2.5,1,12,"2022/09/29 11:00:00",0.2,22,51,2,120.44083333,23.462778,42
新營,臺南市,60,細懸浮微粒,普通,1.2,0.19,41.2,24.7,33,19,6.9,8.5,1.6,2.2,277,"2022/09/29 11:00:00",0.2,19,40,1,120.31725,23.305633,43
善化,臺南市,51,細懸浮微粒,普通,0.8,0.08,41.8,28.2,21,13,3.7,4.9,1.2,3.4,323,"2022/09/29 11:00:00",0.1,15,26,0,120.297142,23.115097,44
安南,臺南市,54,細懸浮微粒,普通,1.1,0.13,38,28.9,29,9,0.4,1,0.6,3.7,314,"2022/09/29 11:00:00",0.2,16,39,1,120.2175,23.048197,45
臺南,臺南市,56,細懸浮微粒,普通,0.4,0.22,43.6,34.6,22,10,4.8,6.4,1.6,1.6,209,"2022/09/29 11:00:00",0.3,17,33,0,120.202617,22.984581,46
美濃,高雄市,40,,良好,1.2,0.17,44.8,22.9,26,11,1.7,2.7,0.9,2.2,250,"2022/09/29 11:00:00",0.2,12,23,0,120.530542,22.883583,47
橋頭,高雄市,53,細懸浮微粒,普通,1.1,0.15,39.8,22.1,48,17,5.8,7.9,2.1,3.3,291,"2022/09/29 11:00:00",0.2,16,39,1,120.305689,22.757506,48
仁武,高雄市,60,細懸浮微粒,普通,1.1,0.18,39.6,24.4,33,19,8.9,10.3,1.3,2.7,272,"2022/09/29 11:00:00",0.3,19,31,1,120.332631,22.689056,49
鳳山,高雄市,53,細懸浮微粒,普通,2,0.56,34.8,21.6,30,17,15.9,18.9,2.9,0.5,284,"2022/09/29 11:00:00",0.4,16,30,1,120.358083,22.627392,50
大寮,高雄市,55,細懸浮微粒,普通,1.5,0.19,,13.1,,19,13.2,15.3,2.1,1.1,279,"2022/09/29 11:00:00",0.2,17,33,1,120.425311,22.56413611,51
林園,高雄市,39,,良好,2.4,0.21,58.9,23,34,12,5.4,6.4,0.9,2.4,244,"2022/09/29 11:00:00",0.2,12,35,1,120.41175,22.4795,52
楠梓,高雄市,52,細懸浮微粒,普通,0.2,0.17,43.9,20.6,58,20,8.6,9.3,0.7,1.7,305,"2022/09/29 11:00:00",0.3,16,37,1,120.328289,22.733667,53
